TransactionDate,PostingDate,Description,Amount,Category
2026-02-01,2026-02-02,UBER EATS TORONTO ON,38.90,Food & Dining
2026-02-02,2026-02-03,NETFLIX.COM,18.99,Subscriptions
2026-02-03,2026-02-04,AMAZON.CA,234.56,Shopping
2026-02-04,2026-02-05,PETRO-CANADA 4521 TORONTO,71.23,Gas & Auto
2026-02-05,2026-02-06,CACTUS CLUB CAFE TORONTO,123.45,Food & Dining
2026-02-07,2026-02-08,SHOPPERS DRUG MART #1456,89.45,Health & Pharmacy
2026-02-08,2026-02-09,BELL MOBILITY TORONTO ON,95.67,Phone & Utilities
2026-02-09,2026-02-10,APPLE.COM/BILL ITUNES,12.99,Subscriptions
2026-02-10,2026-02-11,ESSO STATION 2234 TORONTO,68.90,Gas & Auto
2026-02-11,2026-02-12,LCBO #0445 TORONTO ON,78.90,Shopping
2026-02-12,2026-02-13,STARBUCKS #8834 TORONTO,45.67,Food & Dining
2026-02-14,2026-02-15,JACOBSSTEAKHOUSE TORONTO,289.45,Food & Dining
2026-02-15,2026-02-16,SPORT CHEK YORKDALE ON,123.45,Shopping
2026-02-16,2026-02-17,CINEPLEX ENTERTAINMENT,56.78,Entertainment
2026-02-17,2026-02-18,AMAZON.CA,67.89,Shopping
2026-02-18,2026-02-19,LOBLAWS PC MASTERCARD,198.45,Groceries
2026-02-19,2026-02-20,INDIGO CHAPTERS TORONTO ON,67.89,Shopping
2026-02-20,2026-02-21,UBER RIDES TORONTO ON,34.56,Transportation
2026-02-21,2026-02-22,WHOLE FOODS MARKET TORONTO,145.67,Groceries
2026-02-22,2026-02-23,CASA MANILA TORONTO ON,89.45,Food & Dining
2026-02-23,2026-02-24,AMAZON.CA,123.45,Shopping
2026-02-24,2026-02-25,GOODLIFE FITNESS TORONTO,56.78,Health & Fitness
2026-02-25,2026-02-26,IKEA NORTH YORK ON,234.56,Shopping
2026-02-26,2026-02-27,FRESHCO TORONTO ON,56.78,Groceries
2026-02-28,2026-03-01,WINNERS #0892 TORONTO ON,78.90,Shopping
